posicao;municipio;IFDM_2013
1;Ariquemes;0.7746
2;Vilhena;0.7465
3;Pimenta Bueno;0.7383
4;Porto Velho;0.7257
5;Ji-Paraná;0.7117
6;Cacoal;0.7111
7;Santa Luzia d'Oeste;0.6850
8;Rolim de Moura;0.6785
9;Chupinguaia;0.6766
10;São Miguel do Guaporé;0.6699
11;Pimenteiras do Oeste;0.6501
12;Teixeirópolis;0.6500
13;Colorado do Oeste;0.6473
14;Jaru;0.6450
15;Rio Crespo;0.6430
16;Primavera de Rondônia;0.6384
17;Alta Floresta d'Oeste;0.6337
18;Ouro Preto do Oeste;0.6261
19;São Francisco do Guaporé;0.6214
20;Candeias do Jamari;0.6199
21;Buritis;0.6199
22;São Felipe d'Oeste;0.6153
23;Presidente Médici;0.6140
24;Cerejeiras;0.6137
25;Monte Negro;0.6016
26;Urupá;0.6006
27;Espigão d'Oeste;0.5973
28;Seringueiras;0.5922
29;Alvorada d'Oeste;0.5919
30;Itapuã do Oeste;0.5903
31;Cabixi;0.5887
32;Novo Horizonte do Oeste;0.5858
33;Nova Brasilândia d'Oeste;0.5857
34;Vale do Paraíso;0.5818
35;Corumbiara;0.5759
36;Alto Paraíso;0.5735
37;Cacaulândia;0.5721
38;Vale do Anari;0.5710
39;Ministro Andreazza;0.5657
40;Costa Marques;0.5626
41;Nova União;0.5571
42;Guajará-Mirim;0.5541
43;Mirante da Serra;0.5519
44;Parecis;0.5502
45;Castanheiras;0.5430
46;Theobroma;0.5405
47;Machadinho d'Oeste;0.5322
48;Campo Novo de Rondônia;0.5272
49;Nova Mamoré;0.5084
50;Cujubim;0.5055
51;Alto Alegre dos Parecis;0.5046
52;Governador Jorge Teixeira;0.4562
